Player_ID,Player,Display_Name,Player_Slug,NBA_Player_ID,Headshot_URL,Headshot_Source,Headshot_Status,Acquisition_Need,HTTP_Status,Content_Type,Verification_Status,Has_Headshot,Original_NBA_CDN_URL
P000471,Bob McAdoo,Bob McAdoo,bob-mcadoo-p000471,77498.0,https://cdn.nba.com/headshots/nba/latest/1040x760/77498.png,NBA CDN,verified,manual_identity_research,,,verified,True,
P000472,Bob McAdoo*,Bob McAdoo*,bob-mcadoo-p000472,77498.0,https://cdn.nba.com/headshots/nba/latest/1040x760/77498.png,NBA CDN,verified,manual_identity_research,,,verified,True,
P000473,Bob McCann,Bob McCann,bob-mccann,737.0,https://cdn.nba.com/headshots/nba/latest/1040x760/737.png,NBA CDN,verified,visual_verification,,,verified,True,https://cdn.nba.com/headshots/nba/latest/1040x760/737.png
P000474,Bob McNeill,Bob McNeill,bob-mcneill,77562.0,https://cdn.nba.com/headshots/nba/latest/1040x760/77562.png,NBA CDN,verified,visual_verification,,,verified,True,https://cdn.nba.com/headshots/nba/latest/1040x760/77562.png
P000475,Bob Miller,Bob Miller,bob-miller,77603.0,https://cdn.nba.com/headshots/nba/latest/1040x760/77603.png,NBA CDN,verified,visual_verification,,,verified,True,https://cdn.nba.com/headshots/nba/latest/1040x760/77603.png
P000476,Bob Naber,Bob Naber,bob-naber,77681.0,https://cdn.nba.com/headshots/nba/latest/1040x760/77681.png,NBA CDN,verified,visual_verification,,,verified,True,https://cdn.nba.com/headshots/nba/latest/1040x760/77681.png
P000477,Bob Nash,Bob Nash,bob-nash,77688.0,https://cdn.nba.com/headshots/nba/latest/1040x760/77688.png,NBA CDN,verified,visual_verification,,,verified,True,https://cdn.nba.com/headshots/nba/latest/1040x760/77688.png
P000478,Bob Peterson,Bob Peterson,bob-peterson,77843.0,https://cdn.nba.com/headshots/nba/latest/1040x760/77843.png,NBA CDN,verified,visual_verification,,,verified,True,https://cdn.nba.com/headshots/nba/latest/1040x760/77843.png
P000479,Bob Pettit,Bob Pettit,bob-pettit-p000479,77847.0,https://cdn.nba.com/headshots/nba/latest/1040x760/77847.png,NBA CDN,verified,manual_identity_research,,,verified,True,
P000480,Bob Pettit*,Bob Pettit*,bob-pettit-p000480,77847.0,https://cdn.nba.com/headshots/nba/latest/1040x760/77847.png,NBA CDN,verified,manual_identity_research,,,verified,True,
P000481,Bob Portman,Bob Portman,bob-portman,77878.0,https://cdn.nba.com/headshots/nba/latest/1040x760/77878.png,NBA CDN,verified,visual_verification,,,verified,True,https://cdn.nba.com/headshots/nba/latest/1040x760/77878.png
P000482,Bob Priddy,Bob Priddy,bob-priddy,77886.0,https://cdn.nba.com/headshots/nba/latest/1040x760/77886.png,NBA CDN,verified,visual_verification,,,verified,True,https://cdn.nba.com/headshots/nba/latest/1040x760/77886.png
P000483,Bob Quick,Bob Quick,bob-quick,77892.0,https://cdn.nba.com/headshots/nba/latest/1040x760/77892.png,NBA CDN,verified,visual_verification,,,verified,True,https://cdn.nba.com/headshots/nba/latest/1040x760/77892.png
P000484,Bob Riley,Bob Riley,bob-riley,77963.0,https://cdn.nba.com/headshots/nba/latest/1040x760/77963.png,NBA CDN,verified,visual_verification,,,verified,True,https://cdn.nba.com/headshots/nba/latest/1040x760/77963.png
P000485,Bob Rule,Bob Rule,bob-rule,78042.0,https://cdn.nba.com/headshots/nba/latest/1040x760/78042.png,NBA CDN,verified,visual_verification,,,verified,True,https://cdn.nba.com/headshots/nba/latest/1040x760/78042.png
P000486,Bob Santini,Bob Santini,bob-santini,78061.0,https://cdn.nba.com/headshots/nba/latest/1040x760/78061.png,NBA CDN,verified,visual_verification,,,verified,True,https://cdn.nba.com/headshots/nba/latest/1040x760/78061.png
P000487,Bob Schafer,Bob Schafer,bob-schafer,78072.0,https://cdn.nba.com/headshots/nba/latest/1040x760/78072.png,NBA CDN,verified,visual_verification,,,verified,True,https://cdn.nba.com/headshots/nba/latest/1040x760/78072.png
P000488,Bob Sims,Bob Sims,bob-sims,78160.0,https://cdn.nba.com/headshots/nba/latest/1040x760/78160.png,NBA CDN,verified,visual_verification,,,verified,True,https://cdn.nba.com/headshots/nba/latest/1040x760/78160.png
P000489,Bob Sura,Bob Sura,bob-sura,682.0,https://cdn.nba.com/headshots/nba/latest/1040x760/682.png,NBA CDN,verified,manual_identity_research,,,verified,True,
P000490,Bob Thornton,Bob Thornton,bob-thornton,738.0,https://cdn.nba.com/headshots/nba/latest/1040x760/738.png,NBA CDN,verified,visual_verification,,,verified,True,https://cdn.nba.com/headshots/nba/latest/1040x760/738.png
