Player_ID,Player,Display_Name,Player_Slug,NBA_Player_ID,Headshot_URL,Headshot_Source,Headshot_Status,Acquisition_Need,HTTP_Status,Content_Type,Verification_Status,Qualified_Profile,Qualified_Seasons
P002227,Jay Huff,Jay Huff,jay-huff,1630643.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1630643.png,NBA CDN,candidate,manual_identity_research,,,,True,0
P002228,Jay Humphries,Jay Humphries,jay-humphries,77081.0,https://cdn.nba.com/headshots/nba/latest/1040x760/77081.png,NBA CDN,candidate,manual_identity_research,,,,True,0
P002229,Jay Miller,Jay Miller,jay-miller,77601.0,https://cdn.nba.com/headshots/nba/latest/1040x760/77601.png,NBA CDN,candidate,manual_identity_research,,,,True,0
P002230,Jay Murphy,Jay Murphy,jay-murphy,77670.0,https://cdn.nba.com/headshots/nba/latest/1040x760/77670.png,NBA CDN,candidate,manual_identity_research,,,,True,0
P002231,Jay Scrubb,Jay Scrubb,jay-scrubb,1630206.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1630206.png,NBA CDN,candidate,manual_identity_research,,,,True,0
P002232,Jay Taylor,Jay Taylor,jay-taylor,78297.0,https://cdn.nba.com/headshots/nba/latest/1040x760/78297.png,NBA CDN,candidate,manual_identity_research,,,,True,0
P002233,Jay Vincent,Jay Vincent,jay-vincent,78418.0,https://cdn.nba.com/headshots/nba/latest/1040x760/78418.png,NBA CDN,candidate,manual_identity_research,,,,True,0
P002234,Jay Williams,Jay Williams,jay-williams,2398.0,https://cdn.nba.com/headshots/nba/latest/1040x760/2398.png,NBA CDN,candidate,manual_identity_research,,,,True,0
P002235,Jaylen Adams,Jaylen Adams,jaylen-adams,1629121.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1629121.png,NBA CDN,candidate,manual_identity_research,,,,True,0
P002236,Jaylen Brown,Jaylen Brown,jaylen-brown,1627759.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1627759.png,NBA CDN,candidate,manual_identity_research,,,,True,0
