Player_ID,Player,NBA_Player_ID,Headshot_URL,Headshot_Status,Verification_Status
P000446,Bob Dandridge*,76500.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76500.png,candidate,
P000445,Bob Dandridge,76500.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76500.png,candidate,
P000049,Adrian Dantley,76504.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76504.png,candidate,
P000050,Adrian Dantley*,76504.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76504.png,candidate,
P000447,Bob Davies,76514.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76514.png,candidate,
P000448,Bob Davies*,76514.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76514.png,candidate,
P001109,Dave DeBusschere*,76545.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76545.png,candidate,
P001108,Dave DeBusschere,76545.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76545.png,candidate,
P004758,Wayne Embry*,76668.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76668.png,candidate,
P004757,Wayne Embry,76668.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76668.png,candidate,
P000102,Alex English,76673.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76673.png,candidate,
P000103,Alex English*,76673.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76673.png,candidate,
P002668,Julius Erving*,76681.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76681.png,candidate,
P002667,Julius Erving,76681.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76681.png,candidate,
P004731,Walt Frazier,76750.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76750.png,candidate,
P004732,Walt Frazier*,76750.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76750.png,candidate,
P002438,Joe Fulks*,76764.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76764.png,candidate,
P002437,Joe Fulks,76764.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76764.png,candidate,
P001884,Harry Gallatin,76773.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76773.png,candidate,
P001885,Harry Gallatin*,76773.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76773.png,candidate,
P001735,George Gervin,76804.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76804.png,candidate,
P001736,George Gervin*,76804.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76804.png,candidate,
P004488,Tom Gola*,76828.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76828.png,candidate,
P004487,Tom Gola,76828.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76828.png,candidate,
P001675,Gail Goodrich,76832.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76832.png,candidate,
P001676,Gail Goodrich*,76832.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76832.png,candidate,
P001863,Hal Greer,76882.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76882.png,candidate,
P001864,Hal Greer*,76882.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76882.png,candidate,
P003921,Richie Guerin,76902.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76902.png,candidate,
P003922,Richie Guerin*,76902.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76902.png,candidate,
