Player_ID,Player,Career_G,Career_MP,Qualified_Career,Current_Scoring,RouteB_Scoring,Current_Efficiency,RouteB_Efficiency,Current_Creation,RouteB_Creation,Current_Rebounding,RouteB_Rebounding,Current_Defense,RouteB_Defense,Current_Impact,RouteB_Impact,Current_Overall_SDI,RouteB_Overall_SDI,RouteB_Shift_Scoring,RouteB_Shift_Efficiency,RouteB_Shift_Creation,RouteB_Shift_Rebounding,RouteB_Shift_Defense,RouteB_Shift_Impact,RouteB_Shift_Overall_SDI
andre-miller,Andre Miller,1304.0,40268.0,True,57.80649241146712,58.600337268128165,48.87843655613486,49.156829679595276,78.61658107288072,92.24283305227657,36.20795038084337,37.268128161888704,36.10095456217883,27.71186440677966,50.63938618925831,50.63938618925831,52.36874449349042,61.804384485666105,0.7938448566610461,0.2783931234604182,13.626251979395846,1.0601777810453328,-8.389090155399167,0.0,9.435639992175687
andrea-bargnani,Andrea Bargnani,550.0,15806.0,True,78.20636593591907,83.05227655986509,47.06849942476861,46.45868465430017,38.05759021423258,29.51096121416526,49.32920232061532,49.07251264755481,31.716161833302813,21.440677966101696,18.24381926683717,18.24381926683717,44.94968353355222,37.60539629005059,4.8459106239460255,-0.6098147704684393,-8.546629000067323,-0.2566896730605137,-10.275483867201118,0.0,-7.3442872435016255
andrei-kirilenko,Andrei Kirilenko,797.0,23916.0,True,53.71774873524453,54.468802698145026,77.44251372022909,87.18381112984822,63.52838646769231,70.99494097807757,61.0054367127708,60.96121416526138,92.76038643398084,99.49152542372882,96.67519181585678,96.67519181585678,74.12711081765252,95.7841483979764,0.7510539629004995,9.741297409619136,7.466554510385258,-0.04422254750942045,6.731138989747976,0.0,21.657037580323873
andrew-bogut,Andrew Bogut,706.0,19862.0,True,24.536256323777405,19.30860033726813,57.19602535773468,60.286677908937605,34.61517677263966,24.957841483979763,91.73202802674618,93.50758853288364,77.53700106608414,91.86440677966101,84.39897698209718,84.39897698209718,57.96639269683116,74.62057335581788,-5.227655986509276,3.090652551202922,-9.657335288659894,1.7755605061374666,14.327405713576866,0.0,16.654180658986725
andrew-bynum,Andrew Bynum,418.0,10690.0,True,64.40303541315345,67.45362563237774,78.94951545484396,89.3760539629005,27.500462937066143,17.284991568296796,92.45627763259172,94.35075885328837,66.92153953313051,76.35593220338983,69.39471440750214,69.39471440750214,64.50210669623553,87.43676222596964,3.05059021922429,10.426538508056538,-10.215471368769347,1.8944812206966475,9.434392670259314,0.0,22.934655529734115
andrew-lang,Andrew Lang,737.0,15344.0,True,13.797428330522768,7.925801011804385,30.223216488571715,23.440134907251263,8.490266704833136,2.4451939291736933,73.72691201972631,73.18718381112984,72.2856650783807,85.0,32.22506393861892,32.22506393861892,36.276755050378384,13.996627318718382,-5.871627318718383,-6.783081581320452,-6.045072775659443,-0.5397282085964719,12.714334921619297,0.0,-22.280127731660002
andrew-toney,Andrew Toney,468.0,12608.0,True,87.86024451939291,91.56829679595278,77.38526350158013,87.09949409780776,70.64981887191095,82.71500843170321,8.644729851468922,5.227655986509275,37.7637931540435,30.76271186440678,88.23529411764706,88.23529411764706,64.59058370220227,87.68971332209107,3.7080522765598687,9.714230596227637,12.065189559792259,-3.4170738649596473,-7.001081289636719,0.0,23.0991296198888
andrew-wiggins,Andrew Wiggins,834.0,27951.0,True,83.0330944350759,87.77403035413154,43.25563726515272,41.14671163575042,46.96322010125726,41.65261382799326,39.82928773675602,40.472175379426645,37.087017955085,29.322033898305083,7.672634271099744,7.672634271099744,45.48129764294382,39.37605396290051,4.740935919055644,-2.1089256294023,-5.310606273264,0.6428876426706225,-7.7649840567799195,0.0,-6.105243680043316
andris-biedri,Andris Biedriņš,516.0,11146.0,True,8.723861720067454,3.6256323777403034,76.88351695593789,86.6779089376054,21.037868640379447,10.286677908937605,94.994804274487,96.88026981450253,65.28250269367568,73.8135593220339,37.169650468883205,37.169650468883205,47.41947955220611,46.45868465430017,-5.0982293423271505,9.794391981667502,-10.751190731441842,1.885465540015531,8.531056628358215,0.0,-0.9607948979059415
andr-s-nocioni,Andrés Nocioni,514.0,12013.0,True,63.63279932546375,65.68296795952783,56.47174615779496,59.359190556492415,27.86888082178185,17.622259696458684,54.334879563934855,54.974704890387855,38.6392052850621,32.71186440677966,18.15856777493606,18.15856777493606,43.792282782258525,34.654300168634066,2.050168634064079,2.887444398697454,-10.246621125323166,0.6398253264529998,-5.927340878282436,0.0,-9.137982613624459
