Player_ID,Player,Career_G,Career_MP,Qualified_Career,Current_Scoring,RouteB_Scoring,Current_Efficiency,RouteB_Efficiency,Current_Creation,RouteB_Creation,Current_Rebounding,RouteB_Rebounding,Current_Defense,RouteB_Defense,Current_Impact,RouteB_Impact,Current_Overall_SDI,RouteB_Overall_SDI,RouteB_Shift_Scoring,RouteB_Shift_Efficiency,RouteB_Shift_Creation,RouteB_Shift_Rebounding,RouteB_Shift_Defense,RouteB_Shift_Impact,RouteB_Shift_Overall_SDI,Requested_Name
kobe-bryant,Kobe Bryant,1346.0,48637.0,True,99.1254215851602,99.74704890387858,65.79363803246707,72.42833052276559,80.21290908070897,93.67622259696459,43.4821889594688,43.42327150084317,43.47336634039313,39.40677966101695,93.26513213981244,93.26513213981245,71.95735874510126,95.02529510961214,0.6216273187183816,6.634692490298519,13.463313516255624,-0.05891745862562914,-4.066586679376179,1.4210854715202004e-14,23.067936364510885,Kobe Bryant
lebron-james,LeBron James,1622.0,61030.0,True,98.83579258010118,99.6627318718381,85.4921646410957,95.69983136593592,87.86066081184035,99.0725126475548,55.70699337449464,56.323777403035415,78.25541708441786,92.20338983050847,99.65899403239555,99.65899403239557,85.92494901312764,99.83136593591905,0.8269392917369203,10.207666724840223,11.211851835714455,0.6167840285407777,13.947972746090613,1.4210854715202004e-14,13.906416922791408,LeBron James
michael-jordan,Michael Jordan,1072.0,41011.0,True,99.52171163575042,99.83136593591905,79.05598249019093,89.7133220910624,86.73609932399107,97.8920741989882,51.469580516473336,51.85497470489039,85.43755411450499,97.03389830508475,99.82949701619778,99.82949701619778,85.71571592802024,99.74704890387858,0.3096543001686314,10.657339600871467,11.155974874997128,0.3853941884170524,11.596344190579757,0.0,14.031332975858334,Michael Jordan
patrick-ewing,Patrick Ewing,1190.0,40613.0,True,95.61256323777404,97.63912310286678,64.18119298423674,70.32040472175379,29.50883180253135,19.73018549747049,83.2204215073195,84.48566610455312,82.907423340776,96.1864406779661,86.95652173913044,86.95652173913044,73.04547647037943,95.36256323777403,2.026559865092736,6.139211737517044,-9.77864630506086,1.2652445972336182,13.279017337190098,0.0,22.3170867673946,Patrick Ewing
rudy-gobert,Rudy Gobert,905.0,27811.0,True,45.09822934232715,46.12141652613828,80.79013851121358,91.39966273187184,27.36035284452134,16.947723440134908,98.32425743741632,99.15682967959528,78.70064394599231,92.88135593220339,95.14066496163684,95.14066496163683,67.39489990244587,90.893760539629,1.0231871838111317,10.609524220658258,-10.412629404386433,0.832572242178955,14.18071198621108,-1.4210854715202004e-14,23.498860637183128,Rudy Gobert
scottie-pippen,Scottie Pippen,1178.0,41069.0,True,69.56408094435076,74.70489038785834,59.81657495446363,63.827993254637434,77.11167673168374,90.13490725126475,58.712539085161175,59.02192242833052,87.04771001756862,97.96610169491525,98.55072463768116,98.55072463768116,75.43860792591929,96.54300168634065,5.140809443507578,4.011418300173801,13.023230519581006,0.309383343169344,10.918391677346634,0.0,21.10439376042136,Scottie Pippen
shaquille-o-neal,Shaquille O'Neal,1207.0,41918.0,True,97.78182967959528,98.73524451939292,77.81651216687575,87.77403035413154,60.77338407782881,66.10455311973018,94.68501538993227,96.54300168634065,69.81888008587246,81.1864406779661,98.46547314578004,98.46547314578005,81.70108876776357,98.8195615514334,0.9534148397976452,9.957518187255786,5.331169041901376,1.8579862964083702,11.36756059209364,1.4210854715202004e-14,17.11847278366983,Shaquille O'Neal
stephen-curry,Stephen Curry,1069.0,36304.0,True,91.2120573355818,94.18212478920742,96.09494135115708,99.83136593591905,85.25715755561956,97.3018549747049,31.47820168054454,32.79932546374368,55.70471820850605,58.644067796610166,98.20971867007673,98.20971867007673,78.5902561089549,97.63912310286678,2.9700674536256173,3.736424584761977,12.044697419085338,1.3211237831991376,2.9393495881041147,0.0,19.048866993911872,Stephen Curry
tim-duncan,Tim Duncan,1392.0,47368.0,True,93.59295952782465,96.3743676222597,65.11444346494582,71.66947723440136,64.81422268029198,72.93423271500843,91.77789961079093,93.67622259696459,79.00701944178579,93.05084745762711,99.31798806479114,99.31798806479114,80.95176354794474,98.56661045531197,2.7814080944350508,6.555033769455534,8.120010034716458,1.8983229861736675,14.043828015841328,0.0,17.614846907367237,Tim Duncan
wilt-chamberlain,Wilt Chamberlain,1045.0,47859.0,True,82.50885328836425,87.2681281618887,84.33431050962591,94.60370994940978,72.95733076205238,85.49747048903879,99.3682610250907,99.6627318718381,84.4592575370069,96.69491525423729,99.57374254049446,99.57374254049446,85.5822402445776,99.57841483979765,4.759274873524447,10.269399439783868,12.54013972698641,0.29447084674740154,12.235657717230382,0.0,13.99617459522004,Wilt Chamberlain
