Category,RouteB_Rank,Player_ID,Player,Current_Scoring,RouteB_Scoring,Current_Efficiency,RouteB_Efficiency,Current_Creation,RouteB_Creation,Current_Rebounding,RouteB_Rebounding,Current_Defense,RouteB_Defense,Current_Impact,RouteB_Impact,Current_Overall_SDI,RouteB_Overall_SDI
Overall SDI,5,david-robinson,David Robinson,,,,,,,,,,,,,85.61762827578153,99.6627318718381
Overall SDI,6,wilt-chamberlain,Wilt Chamberlain,,,,,,,,,,,,,85.5822402445776,99.57841483979765
Overall SDI,7,joel-embiid,Joel Embiid,,,,,,,,,,,,,85.49710463821583,99.49409780775717
Overall SDI,8,kawhi-leonard,Kawhi Leonard,,,,,,,,,,,,,85.37764262401073,99.4097807757167
Overall SDI,9,anthony-davis,Anthony Davis,,,,,,,,,,,,,85.16589947025886,99.32546374367622
Overall SDI,10,larry-bird,Larry Bird,,,,,,,,,,,,,85.08887534572465,99.24114671163575
Overall SDI,11,shai-gilgeous-alexander,Shai Gilgeous-Alexander,,,,,,,,,,,,,83.75733489295632,99.15682967959528
Overall SDI,12,karl-malone,Karl Malone,,,,,,,,,,,,,82.94057992819612,99.0725126475548
Overall SDI,13,kevin-garnett,Kevin Garnett,,,,,,,,,,,,,82.58534416218397,98.98819561551433
Overall SDI,14,hakeem-olajuwon,Hakeem Olajuwon,,,,,,,,,,,,,82.08079884605786,98.90387858347385
Overall SDI,15,shaquille-o-neal,Shaquille O'Neal,,,,,,,,,,,,,81.70108876776357,98.8195615514334
Overall SDI,16,kareem-abdul-jabbar,Kareem Abdul-Jabbar,,,,,,,,,,,,,81.44657633010596,98.73524451939292
Overall SDI,17,julius-erving,Julius Erving,,,,,,,,,,,,,81.24242157246069,98.65092748735245
Overall SDI,18,tim-duncan,Tim Duncan,,,,,,,,,,,,,80.95176354794474,98.56661045531197
Overall SDI,19,jimmy-butler,Jimmy Butler,,,,,,,,,,,,,80.79009452531525,98.4822934232715
Overall SDI,20,charles-barkley,Charles Barkley,,,,,,,,,,,,,80.53886257913217,98.39797639123103
Overall SDI,21,jayson-tatum,Jayson Tatum,,,,,,,,,,,,,79.90281047676888,98.31365935919055
Overall SDI,22,magic-johnson,Magic Johnson,,,,,,,,,,,,,79.73554155395644,98.22934232715008
Overall SDI,23,james-harden,James Harden,,,,,,,,,,,,,79.46979468358896,98.14502529510962
Overall SDI,24,kevin-durant,Kevin Durant,,,,,,,,,,,,,79.44028651598832,98.06070826306915
Overall SDI,25,arvydas-sabonis,Arvydas Sabonis,,,,,,,,,,,,,79.40332321735858,97.97639123102867
